凌寒	Ling Han
松了一口气	heave a sigh of relief, breath a sigh of relief
状态	state, condition
心知肚明	to be well aware
追究	look into, find out, investigate
特意	specially, intentionally
决心	make up one's mind, resolute, determined, make a firm resolution
吊车尾	lowest-ranking student, rank at the bottom, finish last, straggler
一窍不通	know nothing about, utterly ignorant of, clueless
炼器	tool refinement
手法	skill, technique, trick, gimmick
基础	foundation, base, basis
自由之战	free-for-all battle
盛事	great event, grand occasion
盛	flourishing, prosperous, vigorous, energetic, magnificent, grand, popular, common, widespread, abundant, plentiful
届时	when the time comes, at the appointed time, on the occasion
热闹	lively, bustling, jolly, bustle and excitement
刺激	stimulate, encourage, provoke, irritate, upset, excite
千峰林	Forest of One-Thousand Peaks
神识	divine sense
学长	senior student
抵御	resist, withstand
惊悚	frightening, horrifying
寒意	chill
荡然无存	all gone, nothing left, vanished
评定	evaluate, assess
仙榜	Immortal Rankings Board
干劲十足	full of vigour
干劲	drive, enthusiasm, vigour
基本	generally, mainly, by and large, basically
奢望	wild wishes, extravagant hopes, high hopes, excessive expectations
牛逼	badass, freaky, awesome, capable
担任	assume the office of
担任	hold the post of
震撼人心	stirring, thrilling
汇集	converge, assemble, flock together
白玉广场	White Jade Plaza
矛盾	conflict, contradict, difference, inconsistent
纠葛	entangle, dispute
光明正大	fair and square
揍	beat, pummel, pommel
飘逸	graceful, elegant
眷顾	blessed
老天爷	god, heavens
概念	concept, notion, idea
直观	directly perceived
身临	personally on the scene, be present on the scene
悦耳	sweet-sounding, beautiful, pleasant to the ear
副校长	Vice-Principal
玉华	Yu Hua
瞻仰	gaze at with reverence, to revere, admire
伟大	great, mighty, grand, huge
负手	hands clasped behind back
仿佛	seemingly, as if, alike, similar
穿透	pierce through, penetrate, run through
心灵	heart, soul, spirit
能力	ability, capacity, capability
如雷贯耳	reverberate like thunder, resounded in one's ears
感叹	exclaim
如痴如醉	as if intoxicated and stupefied, obsessed with, mad about
总结	summary, sum up, review
监视	mointor, survey, watch over, keep a lookout over
残酷	ruthless, cruel, brutal, harsh
促使	impel, urge, spur
嗨	high, hyped up
战败评定符	Defeat Judgement Seal
话语	utterance, speech, words, discourse
激昂	excited and indignant, roused, impassioned, worked up
启动	activate, start, switch on, open up, launch
禁地	forbidden area, restricted area, out-of-bounds
荒凉	bleak and desolate
荒凉	wild
冷冽	ice-cold, biting, chilly
屏障	screen, barrier
迅速	rapid, swift, speedy, fast
检测	test, examine, check up, detect, sensing
发布	issue, release, announce, distribute
任务成功	Mission Success
任务失败	Mission Failure
注	Note
深知	know very well, fully aware, keenly aware
单调	monotonous, dull, drab
轰鸣	roar, boom, rumble
赶	hurry, rush, catch up, overtake, make a dash for, drive away, expel
此时	this moment, right now
硬着头皮	brace oneself, force oneself to, against one's will, summon up courage
硬着头皮	muster courage
大笑	laugh heartily, roar with laughter
名人榜	Famous Persons Register
深仇大恨	bitter and deep-seated hatred, profound hatred
爆发	erupt, burst out, break out, explode
杀气	killing intent
安全感	sense of security
脑补	to imagine, to visualize
仗义	uphold justice, loyal, generous and ready to offer help, to stick by
阴沉	cloudy, overcast, gloomy, sombre
流星锤	meteor hammer
丧心病狂	freanzied, frantic, perverse, deranged, demented, beserk
欣喜	glad, joyful, happy
校园名人榜	University Famous Persons Register
木然	stupefied, dazed, in shock
别样	unique, different
宽慰	console, comfort, soothe
寒光	dazzling gleam
意外	accident, mishap
罪大恶极	guilty of the most heinous crimes, guilty of terrible crimes, reprehensible
溜	sneak off, slip away
担忧	worry, anxious
瑟瑟发抖	shiver
认同	identify, approve, acknowledge, endorse, recognise
不甘	unreconciled to, not resigned to, unwilling, refuse to accept
凭什么	why, for what reason
占据	occupy, hold
挣扎	toil
侮辱	insult, humiliate, harass, dishonor
敢情	So it turns out, as a matter of fact
过河拆桥	to kick someone to the curb when they've outlived their usefulness
邪	heretic, heretical, evil, sinister
风度	demeanor (elegant), grace, poise
收	receive, accept, put away, collect, gather, harvest, stop, bring an end, restrain, control
简直	simply, sheer, at all, practically
亲密	close, intimate
不得不	have no choice(option) but to, can't help it, can't avoid
熊熊烈火	raging flames, fiery fire
勃然大怒	flare up, fly into a rage
仰慕	look up to, admire
征服	conquer, subjugate, vanquish
忍	bear, endure, tolerate, put up with, stand, to restrain oneself, have the heart to
饥渴难耐	unbearable hunger and thirst
嫉恨	envy and hate, hate out of jealousy, resent
招来	attract, incur
痛斥	bitterly attack, scathingly denounce, rebut, refute, critisize harshly, attack viciously
罪行	crime, guilt, offense
惊天动地	shake heaven and earth, magnificent and earth-shaking feat
吸引	attract, draw, fascinate
忍痛割爱	part reluctanty with what one treasures
吸引	intrigue
忘怀	forget, dismiss from one's mind
错过	miss, let slip an opportunity, fault, mistake
了结	finish, settle, bring to an end
仇恨	hatred, enmity, hostility
夺走	snatch away
挚爱	true love, love dearly
肃然	respectful, solemn, awed
不依不饶	not let off, mot overlook, not spare, unwilling to forgive, treat severely without listening to excuses
纠纷	dispute, issue
纠纷	quarrel
弥漫	suffuse, fill the air, brim over, spread all over, pervade, permeated
逆袭	counterattack
悬浮	float, suspend
啧	tsk
体面	dignity, face, keep up appearances, honorable, creditable, decent
目光炯炯	flashing/bright/piecing eyes
地域	area, region, district
团团围住	completely surrounded, encircle
气势汹汹	fierce, truculent, overbearing, aggressive
抽签	draw lots
跃跃欲试	eager to have a try, itch to have a go
愉快	happy, joyful, cheerful, delightful, pleasant, pleasing, happy
类型	type, category, genre, form, style, ilk
残影	afterimage, shadow
霸道	strong, potent
不相上下	equally matched, about the same, on par
暗藏	hide, conceal
绝招	unique skill, last resort, masterstroke, finishing blow
耗费	waste, spend, consume
灵力	spiritual energy
缠绕	twine, wind, bind
粉碎	crushed, smashed, shattered, pulverized
功能	function, capability
枯竭	dried up, exhausted, used up, depleted
绰绰有余	more than sufficient, enough and to spare
磅礴	boundless, majestic
轰然	loudly, with a loud crash, a loud rumble
轰击	bombard, shell
噗	pfff
滚落	tumble
俯视	look down at, overlook
遗憾	disappointment
蔑视	loathe, despise, contempt, scorn
姗姗来迟	slow in coming, be late, arrive slowly
料到	forsee, anticipate, expect, predict
抵抗	resist, stand up
快感	pleasure, thrill, delight, joy
疯	mad, insane, crazy, wild
循环	cycle, circulate, loop
战力值	Combat Capability
功勋	achievement score
开挂	unbelievably good, cheating
体质	physique, constitution
大展神威	display one's invincible might
对决	confrontation, contest, showdown
对决	clash
认定	maintain that, determine, firm opinion, believe firmly, set one's mind on, identify with
补刀王	Last Hit King
急切	eager, impatient, in a hurry, in haste
豪迈	bold, open-minded, heroic, pridefully
灼灼	shining, brilliant, keen/sparkling eyes
恳求	plead
消耗	consume, expend, depleted, use up
稀缺	in short supply, scarce, in pressing demand
地莲神功	Earth Lotus Supreme Skill
黑石峰	Black Rock Peak
境界	rank
魔法	mage
补刀	last hit
残血	critically injured
破口大骂	let loose a torrent of abuse
厚颜无耻	impudent, brazen, shameless
束缚	tie, bind, restrict
扩散	spread, proliferate, diffuse, spread
积蓄	accumulate, build up
无敌	unmatched
终极	ultimate, final
贯穿	run through, penetrate, connect, cross, link
打散	break up, scatter, beat
苦恼	vexed, worried, tormented, afflicted, distressed
技能	ability, skill
华丽	magnificent, gorgeous
曼妙	lithe and graceful
尽快	as soon as possible
自知之明	self-knowledge
何况	let alone, besides, what's more, to say nothing of
气息	aura
收敛	restrain, hold back, weaken, curb, dwindle, contain, control, restrict
打气	pump up, inflate, encourage, boost morale
残忍	mean, merciless, ruthless
直觉	intuition, instinct
潜能	latent energy, potential ability, hidden capability
汇聚	gather
威胁	threaten, menace
惊愕	stunned, stupefied, shocked, amazed, astonished
光之束缚	Light Binding
终极闪光	Final Spark
懵	stupefied, dumbfounded
懵	baffled
王者荣耀	Arena of Valor
英雄联盟	League of Legends
慌	panic, alarmed, confused, flustered
依旧	as before, unchanged, still
积累	accumulate, cumulate
鼓起勇气	muster one's courage
无厘头	whimsical, capricious, inexplicable, incoherent, illogical
含义	meaning, implied meaning, hidden meaning, hint, connotation
立flag	jinx
诡术妖姬	LeBlanc the Deceiver
嘟	pout
幽怨	sulky, indignant, angry, embittered, resentful
嘟囔	mutter, mumble
稳住	remain calm, stabilize, stay in control, maintain one's position
补刀	killing blow
水晶	Nexus
光辉女郎	Lady of Luminosity
血量	health
恶意魔印	Sigil of Malice
幻影锁链	Ethereal Chains
魔影迷踪	Distortion
故技重施	Mimic
驱逐	drive out, expel, banish, deport, dispel
中二	chuunibyou
中二	delusional
中二	childish
嗖	whiz, whoosh
有惊无险	threatening but not dangerous, more scared than hurt
节操	integrity, moral principle
顾名思义	As the name implies
既然	since, as, now that, since it is so, that being the case
科学	rational
科学	logical
科学	reasonable
不科学	illogical, unreasonable, foolish, ridiculous, absurd, nonsensical
忍	suppress
懒腰	stretch lazily
纤细	thin, slender, fine, tender, slim
眉开眼笑	be all smiles, beam with joy
手残党	noob
势均力敌	evenly matched, close contest
就这样	just like that
光幕	curtain of light
遁光术	Light Concealment Spell
固定	fix, fasten, regular, set rigidly, set
固定	steady
紧张	anxious
怯	timid, cowardly, nervous, afraid
六羽法杖	six-feathered staff
几乎	almost, nearly, practically
魔法少女	young sorceress
腿发软	go weak at the knees
双宿双飞	always keep each other's company, to be inseparable, like birds flying and nestling together
柳千幻	Liu Qianhuan
算了	let it be, let it pass, forget about it
观察	observe, watch, survey, examine, view
关于	with regard to, about, concerning
糟糕	terrible, bad, bad luck
恐高症	acrophobia
恐速症	tachophobia
修士	cultivator
清秀	fine and delicate
纯净	pure, clean
少年	youth
敌意	animosity, hostility, enmity
清净	peaceful and quiet, tranquil, serene
请赐教	please enlighten me
怔	stumped, stunned
陈尘	Chen Chen
毫不留情	mercilessly
无声无息	silent, quiet, noiseless, unknown, obscure
倒霉	lousy luck, be out of luck
话说	say
别的不说	Not taking into account other matters
一流	first-rate, first-class, top-notch
事件	incident, event
体力	stamina, strength, physical power
悠然	carefree and leisurely, unhurried
淬炼	temper
专属	exclusive
惨遭	to suffer
蹂躏	ravaged, devastated, trampled on, violated
秒杀	rapid dispatch of an opponent
呼	phew
疲惫	beat, exhausted, tired
麻木	numb, insensitive, apathetic, empty, lifeless, paralysed
秒杀	insta-kill
承认	admit, concede, recognize, acknowledge
哉悠	free and unconstrained, leisurely and carefree
纹路	veined patterns
玄妙	mystical
顿悟	flash of realization, moment of enlightment
脱线	bizarre
暗合	in accordance with
无奈	exasperated
无奈	frustrated
不假思索	readily, without hesitation
浮现	emerge, float
具体	concrete, definite, specific
修炼	practice
必然	inevitably, certainly, necessity
意外	surprised, astounded
看不起	look down on, scorn, disdain, despise
看不起	condescending, contemptuous
厌恶	disgust, hate, loathe, contempt
呵	heh	scornful chuckle
冷笑	sneer, laugh grimly, laugh scornfully
急剧	rapid, sharp, sudden
绝招	special move, ultimate skill
不觉	imperceptible
颤颤巍巍	tremble, sway, flicker, falter
骇然	gasp with astonishment, dumbstruck, aghast, overwhelmed with shock
引发	triggered, initiate, cause, evoke
一般来说	Generally speaking
琢磨	ponder, mull over, think through
土拨鼠	marmot
面目全非	beyond recognition
悲愤	grief and indignation
义气	loyal, faithful
激将法	tauting, goading, prodding
有一套	savvy, have a skill, know how to do
好胆	what audacity, have the guts
迄今为止	so far, up to now
压迫	oppress, repress, constrict
喷薄	gush, squirt, surge
大道	Great Dao
撕心裂肺	heart-wrenching
噗通	plop, thump
荒谬	absurd, ridiculous, preposterous
护体金光	golden defensive barrier
遗憾	unfortunate
遗言	last words, words of the deceased, wisdom of the past sages
土拨鼠	groundhog
命缘剑仙	Destiny Sword Immortal
莫名其妙	mysteriously, inexplicably, oddly, baffled, unfathomable
扭转	reverse, turn back
因果	karma, preordained fate
回荡	reverberate, resound, echo
气息	presence
异象	phenomenon
百思不得其解	puzzled, perplexed
兽丹	Beast Core
影	projection
散发	exude
生机	vitality
神采奕奕	as fit as a fiddle, beaming and buoyant in spirits
反正	in any case, at any rate, anyway
呸	bah
鄙夷	look down upon, despise, disdain
晋升	advance, promote
桎梏	shackle
炯炯有神	bright and piercing
不悦	displeased, irritated, annoyed
命缘仙人	Destiny Sword Immortal
缓解	alleviate, relieve, ease
御狗	Dog Kinesis Flight
神兽宗	Mythological Beast Sect
收获	fruitful, rewarding
凛	serious, grim, stern
讷讷	slow of speech, faltering in speech, mumbling, hesitating
育灵期	Spirit Nurturing Stage
尽管	despite, even though, feel free to, not hesitate to
高明	wise, brilliant
召唤兽	Summoned Beast
回想	recollect, recall
支配	arrange, allocate, budget, control, dominate, dominate, govern
一跃而起	spring to one's feet
合理	reason, rationality, rationale
水晶	crystal
王玄战	Wang Xuanzhan
后期	final stage
深不可测	unfathomable
育灵后期	Spirit Nurturing Final Stage
育灵初期	Spirit Nurturing Initial Stage
育灵中期	Spirit Nurturing Intermediate Stage
虚脱	drained, exhausted, sapped, worn out
情况	circumstance, situation, condition, state of affairs
恐怖	startling, alarming, horrifying, terrorizing
惊人	devastating
恐怖	devastating
神脉	divine bloodline
精纯	pure, exquisite, superb
破绽	flaw, weak point
进行	carry out, conduct, progress, proceed, commit, wage
无能为力	helpless, powerless, incapable of action
融为一体	fused together
目的	intention
不言而喻	goes without saying, self-evident
这时	at this time
这时	at this moment
究竟	after all, anyway, finally, actually, outcome, result
断定	concluded, decided, determined, came to a judgement
觉醒	awaken
傲然	dignified and proud, unyielding
血腥	bloody, sanguinary
强悍	fierce, intrepid, valiant
关注	follow with interest, pay close attention to, follow closely
关注	focus on
凭借	rely on, depend on, thanks to, by means of
火爆	fiery, popular, flourishing, prosperous, lively
套路	sequence of moves, routine, system
纵然	even if, even though
狂风暴雨	heavy rain storm and strong gale, howling wind and torrential rain, difficult, dangerous situation
蓄	store up, save up, charge
发泄	vent, let off, release
耿直	honest and frank, upright
承受	bear, support, endure, inherit
流传	spread, circulate, hand down
天资	talent
卓越	unsurpassed, extreme, of the highest degree
千奇百怪	all kinds of strange things, an infinite variety of fantastic phenomena, fantastic oddities of every description
断绝	break off, cut off, sever, discontinue
缓	ease, relaxed, slow, unhurried, sluggish, gradual, defer, revive, recuperate
烦躁	fidgety, agitated, irritated, jittery, twitchy
怒火	fury, rage, anger, wrath
阻碍	hinder, block, impede, obstruct
憋屈	distressed
这可是	indeed
东海龙庭	Dragon Court of the Eastern Seas
龙庭	Dragon Court
无尽	endless, boundless, incessant, infinite, limitless
威严	might, power, prestige, dignity, majestic, awe-inspiring
虚影	shadow, projection
震慑	intimidate, to awe, frighten
势不可挡	unstoppable, irresistable, relentless
茫然	blank, vacant, at a loss
玄妙	abstruse
纠结	dilemma, undecide, grapple, struggle, mixed feelings, unsure
淡漠	indifferent, apathetic, nonchalant
凹陷	caved in, sunken
意料	anticipate, expect
怒吼	(angry) roar, howl, bellow, snarl, rave
挺身而出	step forward bravely, come out boldly
看好	optimistic, bullish, looks promising, good prospect
奇葩	prodigy, weirdo, outlandish
非同凡响	out of the ordinary
草率	sloppy, careless
不可置信	incredulous
心境	state of mind, mental state, mood, frame of mind
运	channel
思索	think deeply, ponder
近在咫尺	close at hand, well within reach, round the corner
所向披靡	sweep away all obstacles, invincible
颤抖	quiver
结巴	stammer, stutter
天道一指	Finger of the Heavenly Dao
啊	ow
湮灭	annihilate, destroy
破天系	Heaven Obliterating Faction
补天系	Heaven Mending Faction
诡异	strange, weird
纠正	rectify
过失	fault, error, negligence
赞许	approve, commend, laud, praise
在意	take notice, care about, mind, take to heart
哎哟	ow, ouch, hey
妄图	futile attempt, try in vain
打击	strike, attack, shock, blow
尴尬	embarrasment
呃	Uh, um
人狗侠侣	Gallant Human and Dog Duo
脱俗	free from vulgarity, refined, outstanding
傲然	grand, majestic, great
言论	remarks, statement, discourse
凶光	menacing, threatening, omnous glint
废物	trash, rubbish, loser, weakling
耻辱	disgrace, shame, humiliation
恐惧	terror, dread, horror
无上	supreme, highest, paramount
无上大道	Paramount Dao
浮现	surface
面对	confront, face
凝固	freeze, solidify, congeal
灌注	pour, gush, rush, surge, stream, teem
蓄	gather
显示	indicate, illustrate
窒息	suffocate, stifle, choke, asphyxiate
狰狞	ferocious, savage, hideous, fierce, sinister, malicious, malign, spiteful, wicked
神情	expression, look
残留	remaining, left over, remnant, surplus
无尽	vast
吞噬	swallow, engulf, gobble up
惊惧	frightened, alarmed, terrified
触目惊心	shocking, startling, astonishing, horrible to see, a ghastly sight
不现实	unreal, surreal
爱慕	adore, admire
神通	remarkable ability, godly ability, supernatural power
心性	disposition, temperament
传神	vivid, lifelike
绝世	exceptional, unique, peerless
风姿	charm, graceful bearing, good looks, good figure
同生共死	go through thick and thin together
盘算	calculatem figure, plan, plot, scheme
同学	student
神威之术	Divine Might
反噬	backlash
嘭	bam
眼皮底下	right before one's eyes
浓稠	thick, dense and creamy
掏	take out, fish out
自爆	self-detonation
锁神冰棺	Soul Locking Ice Coffin
仙器	Immortal Tool
天啊	heavens
后遗症	after-effect
耀眼	eye-catching
耀眼	impressive
杨程武	Yang Chengwu
雄厚	rich, ample, abundant, robust, strong and solid
勇	fearless, brave, valiant, courageous
心神不定	be distracted, feel restless, have no peace of mind
月光轮	Moonlight Disc
仙器	Immortal Weapon
顶尖	best, top-rate, first-rate, peak, finest
镇派之宝	essential treasures
应付	deal with, cope with, handle, make do
金光防护罩	golden defensive barrier
绽放	burst forth, burst into bloom, blossom
灵魂	soul
混沌	chaos
玉杵	jade pestle
噩梦	nightmare
嗯	uh
精元	energy essence
生极造化丹	Ultimate Creation Pill
神魂	conscience
最后	finally, eventually
珍稀	exotic
打死	regardless of what happened
特制武器	Unique Tool
混沌合金砖	Chaotic Alloy Brick
浮空大陆	floating continent
南天门	Northern Heavenly Gate
加固	strengthen
封印	seal
昆仑山	Kunlun Mountain ranges
昆仑	Kunlun Mountain
剿	suppress, put down, destroy, exterminate, annihilate
怪物	monstrosity
渠道	channel, medium of communication, means
半步	Half-Step
动荡	commotion, unrest, turmoil, upheaval
执行	carry out, execute, implement
大腿	coattail
队长	team leader
散发	emanate, emit, impart, ooze
凝聚	form, construct, materialize
一片	vast expanse
神将	Divine General
光合作用	photosynthesize
咧	grimace, grin
慌乱	frenetic, hurried, alarmed and bewildered, panic
挣脱	struggle free of, escape, throw off
慌乱	flustered
谦逊	modest, unassuming, humble
妖宠	Spirit Pet
宠	Pet
道侣	Dao partner
不解	quizzical
脑回路	mind, mindset, thought, frame of mind, mentality
上品	high-grade, top-grade
代购	daigou
戳	jab, poke, stab, sprain, blunt, stamp, seal, prick, chop
折磨	torment, torture
花精	Flower Spirit
不好意思	remorseful
订立	make (a contract)
主仆契约	master and servant contract
订立	sign
契约	contract
妖丹	Spirit Core
危局	dangerous situation
危局	perilous situation
随便	casual, random, informal, careless, slipshod, remiss, wanton, wilful, do as one pleases
嗯	eh
嗯	hmm
算了	so be it
缩	withdraw, pull back, contract, shrink, reduce, draw in
渗	permeate, seep, penetrate, infiltrate
主人	Master
拍马	flatter
哼	humph
化形	transformation
小红	Xiao Hong
娇滴滴	sweet, cute
咦	hm
啜泣	sob
蓉城	Rong City
白云观	Baiyun Temple
凝	become serious
面如土色	ashen-faced, deathly pale
哆嗦	tremble, shiver
哆嗦	quiver
诚哥	Big Brother Cheng
仙术	immortal spell
有关部门	department concerned
黄溪村	Huang Xi Village
离奇	strange, odd, fantastic, bizarre
人心惶惶	state of anxiety
采取	adopt, assume, take, carry out
蔓延	spread, extend, stretch, emanate
田玲玲	Tian Lingling
玲玲	Lingling
假道士	Fake Daoist Priest
不会是	it can't be
阴寒	(cold) chill
特性	special property, unique characteristic
恶鬼	evil spirit
黄珊珊	Huang Shanshan
仙使	immortal ambassadors
噗	pffft
好歹	in any case, at any rate, anyhow
呜	waah
符箓	talisman, charm, ward
踪迹	track, trail, trace
嘶哑	hoarse, husky, coarse
猝不及防	taken by surprise, caught off guard, without warning
理会	take notice of, pay attention to, deal with
咦	hmm
咦	huh
噫	ew
嘤	waah
流氓	hooligan
破邪符	warding seal
剑芒	sword projection, sword aura
咳	ahem
痛苦	pain, suffering, agony
精神	vigour, vitality, drive, spirited, spirit, consciousness, mind, mental state, essence
能量	energy, capability
怒目而视	glowered
怒	glowered
诡异	unusual
得色	smug, cocky, show off
消灭	exterminate, abolish, wipe out, eliminate, perish, die out
轰隆	rumble
挽救	save, remedy, rescue
猛	ferocious, vicious, forceful, aggressive
怜悯	take pity on, mercy, have compassion for, sympathy
识破	seen through
雪王蛛丝	Snow King Cobweb
智慧	wisdom
魔帝	Demon Emperor
国家特别作战部	National Special Operations Department
百目蜘蛛	Hundred-Eyed Spider
智慧魔王	Demon King of Wisdom
全世界修士联合起来一起保护地球	all cultivators of the world unite together to protect earth
木牛道人	Daoist Wooden Ox
真人	Enlightened	Daoist title for one who had attained enlightenment or immortality. (true man, real person, daoist spiritual master)
琉璃真人	Enlightened Lazurite
假道士小安	Fake Daoist Priest Little An
安道友	Daoist An
诱惑	entice, tempt, seduce, lure, attract, allure
金玉子	Golden Jade
装逼	flex
百发百中神算子	Crack Shot Clairvoyant
原子弹仙子	Atomic Bomb Fairy
梦音仙子	Dreamy Voice Fairy
救世主	The Savior
青河剑仙	Green River Sword Immortal
外援	reinforcement
狂风呼啸	the wind howled
牵雷术	Lightning Manipulation Technique
叮咚	Ding Dong
保护地球	protect earth
妖王	Evil Spirit King
尹喜真人	Yi Xi the Enlightened
666	cheer on
密集恐惧症	trypophobia
恐怖	fearsome
独门基础剑法大全	Complete Collection of Sword Technique Basics
探云道人	Cloud Exploring Daoist
痛苦魔王	Demon King of Agony
剑气	sword intent
身死道消	perish
暴怒魔王	Demon King of Wrath
秘术	mystical technique
激光剑	lightsaber
魔改	magical modification
嘲弄	mock, poke fun, tease
修习	practiced
拷问	interrogate
坑	screwed over
韦荣会	Wei Ronghui
牵情酒	captivation wine
林舞华	Lin Wuhua
华国	Hua Country, Hua Nation
郑宏义	Zheng Hongyi
探云道长	Cloud Exploring Daoist
神算子	Crack Shot Clairvoyant
伤痕累累	riddled with wounds
仙丹	immortal pill
道号	Dao title
静心仙女	Calm Celestial Maiden
呕心沥血	underwent infinite hardships
赤蛟道人	Daoist Red Wyrm
皇冠假日酒店	Crown Holiday Hotel
法术	magic spell
龙虎山	Mount Longhu
血令牌	Blood Token
剑宗	Sword Sect
大笑	chortled
黑心魔王	Demon King of Wickedness
智慧兄弟	Brother Wisdom
黑心	Wickedness
变态	freakish, retarded
咸鱼	salted fish, bludger
妖塔	Evil Spirit Tower
血神	Blood God
秘籍	rare text, valuable book
东方雪	Dongfang Xue
大魅惑术	Great Bewitching Technique
化形	shape-shift
娇声	seductive
血族	Blood Tribe
魔族	Demon Tribe
张天师	Heavenly Teacher Zhang
道根	dao foundations
血肉灵碑	Flesh and Blood Spirit Tablet
黑泽	dark marshlands
灵根	spirit root
化神期	Soul Formation Stage
魔王	Demon King
紫星	Purple Star
灵石	spirit stone
日天	f*ck the heavens
噗哇	pwah
安明川	An Mingchuan
道藏	Daoist Scripture
死猪不怕开水烫	nothing to lose
神鉴术	Celestial Identification Technique
鸿达建筑投资有限公司	Hongda Construction and Investment Corporation
修神界面	Cultivation Platform
神威术	Celestial Might Technique
林子	Little Lin
呆立	transfixed
国家修仙部门	National Cultivation Department
震慑	in awe, frighten
小兰	Xiaolan
微言	WeChat
血洗	massacre, slaughter, blood purge
原子弹仙女	Atomic Bomb Fairy
海印方丈	Buddhist Abbot Haiyin
天灵灵	Tian Lingling
血王	Blood King
红狐仙	Red Fox Celestial Maiden
孤傲魔王	Demon King of Arrogance
艾尔文	Erwin
萨留希	Sarus
缅尹	Burmen
洵公馆	Rivers Mansion
兰莉	Riley
卢尼	Loonies
凤凰大街	Phoenix Street
宫城	palatial complex
内城	inner city
外城	outer city
缇德	Teedus Academy
山阴石	Yin Mountain Stone
雅菲帝国	Effer Kingdom
皇家骑士团	Imperial Cavalry Brigade
宫廷法师团	Court Magician Council
曜夜石	Nightglow Stone
凯巴	Kaiba
莱梧	Larwood
宸朱	Chase
隽云	Gwen
瞬发魔法	instant-release spells
《时空法则》	"Laws of Time and Space"
鹰隼	Professor Hawk
费提墨	Professor Hawk
枕剑会	Pillow Sword Tournament
紫荆阁	Redbud Pavilion
魔法盾	magic shield
特拉勒底山脉	Terarody Mountain Ranges
雷萨亲王	Prince Lazaar
攻防课	offense and defense class
光正教	True Light Church
咒术魔法的起源	"The Origins of Arcane Spells"
旧河	Old River Restaurant
希律主教	Archbishop Sirius
庭霄帝国	Skycourt Kingdom
墨焰	Black Blaze
裂空	space split technique
选手看台	contestant's spectating platform
曜影剑阵	Shadowgleam Sword Array
乔芷	Georgina
论魔法的最终伤害	"A Discussion on the Ultimate Damage of Magic"
鹘嘴蜥蜴	Falcon Beak Lizards
天星	Heavenly Star mercenary legion
四方	Four Winds mercenary legion
狼月	Wolf Moon mercenary legion
庭霄	Skycourt Kingdom
大魔导师	grand magic mentor
咒术邪焰黑龙	Arcane Inferno Black Dragon spell
约芬	Joffen
特瓦德丹	Tewadedan
落晶	Fall Crystals
葵倾	Christine
疯猪	Deranged Pig
聂一一	Nie Yiyi
元	Adam
机械军	Mechguard
红蜘蛛	Red Spider
梅	May
胡克	Hook
精神教会	Psychic Church
雷顿	Layton Academy
金莎	Shae
金牙齿	Golden Teeth Incorporated
疯猪	Deranged Pig
本.加西亚	Ben Garcia
金.加西亚	Kim Garcia
金	Kim
精神世界	psychic world
当铺	pawn shop
沙腾市	Sandrise City
召唤	invoke
地狱犬	Hellhound
木乃伊	Mummy
恶魔	anomaly
精神体	psychic body
山本正雄	Masao Yamamoto
雷诺	Layton Academy
金熙照	Kim Hee-cho
灵觉	telegnosis
畸变者	psychic mutant
杀杀狂魔	Lean Mean Killing Machine
八岐大蛇	Yamata no Orochi
百鬼	Hyakki Yagyou
蛇巫	Hebi no Miko
尼德霍格	Níðhöggr
学舟	Ark Learning Children's Fund
秦夜	Qin Ye
灵灾	supernatural disaster
织田信长	Oda Nobunaga
织田信忠	Oda Nobutada
归天蛊铠甲	armaments forged from the carapace of blight vermin
鬼民	netherworldly citizens
离镜宫	Reflection Palace
阴差	Hellguards
阴兽	Yin beasts
蓬丘	Ashmound
射神棺	Soul-Launching Coffin
灭日弩	Sun Vanquishing Crossbow
暗鸠	Dark Dove
鹤独	Lone Crane
六方鬼王	Sixfold Ghost Kings
赵云	Zhao Yun
鬼火	netherworldly fire
鬼火	netherworldly fire
判官	Infernal Judge
鬼差	Netherworld Operative
母衣众	Umamawari
阴气	Yin energy
阴差拿人，闲杂退避	By Hell’s Dictum, all rabble shall disperse
阿落刹娑	Arakshasa
东山	Eastmount Province
徽省	Insignia Province
阿尔萨斯	Arthis
承薪	Everburn
龙胆亮银枪	Courage of Dragons Silver Spear
平西军	West Vanquishing Army
陕西	West Shan Province
威！！	Chaaaaarge!!
八大门阀	Eight Great Clans
吕方	Lü Fang
生死簿	Book of Life and Death
十殿阎罗	Yama-Kings of the 10 Palaces
天界	Heaven
明镜高悬	Mirror of Eminence
阴阳裂隙	Yin Yang Mezzanines
鬼差	Netherworld Operative
拘魂	Soul Hunter
府君	Abyssal Prefects
阎罗	Yama-Kings
彼世安温的魔法炉	Chalice of Preiddeu Annwn
彼世安温	Preiddeu Annwn
阎罗印	King Yanluo's Seal
西都	West Capital
董卓	Dong Zhuo
机关兽	Mechanical Beasts
畜生道主	Daolord of the Beast
青溪县	Clear Creek County
宝安	City of Salvation
阴刺军	Assassins of the Underworld
天狗食月	Moon-Devouring Heavenly Dog
地藏像	Ksitigarbha
地藏像	Ksitigarbha
特别调查处	Special Investigations Department
龙胆亮银枪	Courage of Dragons Silver Spear
结界	Array of the Nine Gods
马海峡	Strait of Tsushima
判官笔	Judgment Pen
六道轮回	six paths of reincarnation
黑夜叉	Black Yaksha
饿鬼道	path of the hungry ghost
封魂球	soul sphere
神器	divine artifact
